slug	author	ru_title	en_title	pg	pg2	en_url	en_src	ru_url	tier	translator	year	length	category	verse
zapiski-iz-mertvogo-doma	Достоевский	Записки из Мёртвого дома	The House of the Dead	37536	-	-	-	https://ilibrary.ru/text/61/p.1/index.html	1	H. Sutherland Edwards (ed.)	1911	Novel	Novels	0
son-smeshnogo-cheloveka	Достоевский	Сон смешного человека	The Dream of a Ridiculous Man	40745	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/text_0330.shtml	1	Constance Garnett	1919	Short story	Short Stories	0
voskresenie	Толстой	Воскресение	Resurrection	1938	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0090.shtml	1	Louise Maude	1899	Novel	Novels	0
otets-sergiy	Толстой	Отец Сергий	Father Sergius	985	-	-	-	https://ilibrary.ru/text/8/p.1/index.html	2	Louise & Aylmer Maude	1911	Novella	Novels	0
zapiski-okhotnika	Тургенев	Записки охотника	A Sportsman's Sketches	8597	8744	-	-	https://ilibrary.ru/text/1204/p.1/index.html	1	Constance Garnett	1895	25-story cycle	Short Stories	0
dvoryanskoe-gnezdo	Тургенев	Дворянское гнездо	A House of Gentlefolk	5721	-	-	-	https://ilibrary.ru/text/1647/p.1/index.html	1	Constance Garnett	1894	Novel	Novels	0
stepnoy-korol-lir	Тургенев	Степной король Лир	A Lear of the Steppes	52642	-	-	-	https://rvb.ru/turgenev/01text/vol_08/01text/0197.htm	3	Constance Garnett	1906	Novella	Novels	0
pikovaya-dama	Пушкин	Пиковая дама	The Queen of Spades	23058	-	-	-	http://az.lib.ru/p/pushkin_a_s/	1	H. Twitchell	1896	Short story	Short Stories	0
boris-godunov	Пушкин	Борис Годунов	Boris Godunov	5089	-	-	-	https://rvb.ru/pushkin/01text/05theatre/01theatre/	1	Alfred Hayes	1918	Verse drama, 25 scenes	Poetry	1
egipetskie-nochi	Пушкин	Египетские ночи	The Egyptian Nights	55219	-	-	-	http://az.lib.ru/p/pushkin_a_s/	2	T. Keane	1894	Short story	Short Stories	0
oblomov	Гончаров	Обломов	Oblomov	54700	-	-	-	https://ilibrary.ru/text/1075/index.html	1	C. J. Hogarth	1915	Novel	Novels	0
levsha	Лесков	Левша	The Steel Flea	61172	-	-	-	https://ilibrary.ru/text/986/p.1/index.html	2	Isabel F. Hapgood	1916	Short story	Short Stories	0
komu-na-rusi-zhit-khorosho	Некрасов	Кому на Руси жить хорошо	Who Can Be Happy and Free in Russia?	9619	-	-	-	https://ilibrary.ru/text/13/index.html	1	Juliet M. Soskice	1917	Narrative poem	Poetry	1
bednaya-liza	Карамзин	Бедная Лиза	Poor Líza	79276	-	-	-	https://rvb.ru/18vek/karamzin/2hudlit/01text/vol1/02stories/02.htm	2	Leo Wiener	1903	Short story	Short Stories	0
my	Замятин	Мы	We	61963	-	-	-	http://az.lib.ru/z/zamjatin_e_i/text_0050.shtml	1	Gregory Zilboorg	1924	Novel	Novels	0
slepoy-muzykant	Короленко	Слепой музыкант	The Blind Musician	59497	-	-	-	http://az.lib.ru/k/korolenko_w_g/	3	Aline Delano	1890	Novella	Novels	0
byvshie-lyudi	Горький	Бывшие люди	Creatures That Once Were Men	1466	-	-	-	http://az.lib.ru/g/gorxkij_m/	3	J. K. M. Shirazi	1905	Novella	Novels	0
