slug	author	ru_title	en_title	pg	pg2	en_url	en_src	ru_url	tier	translator	year	length	category	verse
besy	Достоевский	Бесы	The Possessed (Demons)	8117	-	-	-	https://ilibrary.ru/text/1544/p.1/index.html	1	Constance Garnett	1913	Novel	Novels	0
igrok	Достоевский	Игрок	The Gambler	2197	-	-	-	https://ilibrary.ru/text/67/p.1/index.html	1	C. J. Hogarth	1915	Novella	Novels	0
podrostok	Достоевский	Подросток	A Raw Youth (The Adolescent)	-	-	https://gutenberg.net.au/ebooks01/0100161h.html	Gutenberg AU	-	2	Constance Garnett	1916	Novel	Novels	0
unizhennye-i-oskorblennye	Достоевский	Униженные и оскорблённые	The Insulted and Injured	-	-	http://www.online-literature.com/dostoevsky/insulted-and-injured/	online-lit	https://ilibrary.ru/text/64/p.1/index.html	2	Constance Garnett	1914	Novel	Novels	0
krotkaya	Достоевский	Кроткая	A Gentle Spirit	-	-	http://www.online-literature.com/dostoevsky/gentle-spirit/	online-lit	https://ilibrary.ru/text/1/index.html	2	Constance Garnett	1917	Long story	Novels	0
vechnyy-muzh	Достоевский	Вечный муж	The Permanent Husband	38241	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/	3	Frederick Whishaw	1888	Novella	Novels	0
dyadyushkin-son	Достоевский	Дядюшкин сон	Uncle's Dream	38241	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/	3	Frederick Whishaw	1888	Novella	Novels	0
bobok	Достоевский	Бобок	Bobok	40745	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/	3	Constance Garnett	1919	Short story	Short Stories	0
chestnyy-vor	Достоевский	Честный вор · Крокодил · Мужик Марей	An Honest Thief · The Crocodile · The Peasant Marey	40745	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/	3	Constance Garnett	1919	Stories	Short Stories	0
slaboe-serdtse	Достоевский	Слабое сердце · Ёлка и свадьба · Ползунков · Маленький герой	A Faint Heart · A Christmas Tree and a Wedding · Polzunkov · A Little Hero	36034	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/	3	Constance Garnett	1918	Stories	Short Stories	0
khadzhi-murat	Толстой	Хаджи-Мурат	Hadji Murád	-	-	https://standardebooks.org/ebooks/leo-tolstoy/hadji-murad/aylmer-maude	Standard Ebooks	https://ilibrary.ru/text/1006/p.1/index.html	1	Aylmer Maude	1912	Novella	Novels	0
otrochestvo	Толстой	Отрочество	Boyhood	2450	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0020.shtml	1	C. J. Hogarth	1912	Novella	Novels	0
yunost	Толстой	Юность	Youth	2637	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0030.shtml	1	C. J. Hogarth	1912	Novella	Novels	0
kreytserova-sonata	Толстой	Крейцерова соната	The Kreutzer Sonata	689	-	-	-	https://ilibrary.ru/text/1009/p.1/index.html	1	Benjamin R. Tucker	1890	Novella	Novels	0
mnogo-li-cheloveku-zemli-nuzhno	Толстой	Много ли человеку земли нужно	How Much Land Does a Man Need?	6157	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	1	Louise & Aylmer Maude	1906	Short story	Short Stories	0
kazaki	Толстой	Казаки	The Cossacks	4761	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0160.shtml	2	Louise & Aylmer Maude	1916	Novella	Novels	0
ispoved	Толстой	Исповедь	A Confession	-	-	https://standardebooks.org/ebooks/leo-tolstoy/a-confession/aylmer-maude	Standard Ebooks	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0440.shtml	2	Aylmer Maude	1921	Long essay	Novels	0
kavkazskiy-plennik	Толстой	Кавказский пленник	A Prisoner in the Caucasus	41119	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	2	Nathan H. Dole	1887	Short story	Short Stories	0
chem-lyudi-zhivy	Толстой	Чем люди живы	What Men Live By	6157	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	2	Louise & Aylmer Maude	1906	Short story	Short Stories	0
kholstomer	Толстой	Холстомер	Kholstomír: The Story of a Horse	56797	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_0134.shtml	2	Nathan H. Dole	1899	Novella	Novels	0
posle-bala	Толстой	После бала	After the Ball	243	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	2	C. T. Hagberg Wright	1911	Short story	Short Stories	0
vlast-tmy	Толстой	Власть тьмы	The Power of Darkness	26661	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/text_1886_vlast_tmy.shtml	2	Louise & Aylmer Maude	1919	Play, 5 acts	Plays	0
falshivyy-kupon	Толстой	Фальшивый купон	The Forged Coupon	243	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	C. T. Hagberg Wright	1911	Novella	Novels	0
zhivoy-trup	Толстой	Живой труп	The Live Corpse	26664	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	Louise & Aylmer Maude	1919	Play	Plays	0
dyavol	Толстой	Дьявол	The Devil	67224	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	Aylmer Maude	1911	Novella	Novels	0
