slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,probe_depth,check_url,new_start_sec
demon,1,Глава 2,gQu0Ch-kpKY,0:16:15,0:16:39,24,0.962,i отец отец оставь угрозы свою тамару не,отец отец оставь угрозы свою тамару не брони,,,https://youtu.be/gQu0Ch-kpKY?t=995,
kreytserova-sonata,3,Глава 4,7TY6XFtFSOQ,0:26:24,0:25:54,-30,0.938,ну так я расскажу вам да вы точно,ушел ну так я расскажу вам да вы,,,https://youtu.be/7TY6XFtFSOQ?t=1550,
kreytserova-sonata,5,Глава 6,7TY6XFtFSOQ,0:37:43,0:37:12,-31,0.972,да так с потом пошло дальше дальше были,меня да такс потом пошло дальше дальше были,,,https://youtu.be/7TY6XFtFSOQ?t=2229,
kreytserova-sonata,25,Глава 26,7TY6XFtFSOQ,3:06:45,3:06:16,-29,0.938,вошел кондуктор и заметив что свеча наша догорела,поехал вошл кондуктор и заметив что свеча наша,,,https://youtu.be/7TY6XFtFSOQ?t=11173,
kreytserova-sonata,28,Глава 29,7TY6XFtFSOQ,3:45:25,3:44:53,-32,0.938,и удивительное дело опять когда я вышел из,туфли и удивительное дело опять когда я вышел,,,https://youtu.be/7TY6XFtFSOQ?t=13490,
mednyy-vsadnik,1,Глава 2,-evM74-NzRc,0:04:26,0:04:51,25,0.813,над омраченным петроградом дышал ноябрь осенним хладом плеская,надо врач он им петра адам обри осенним,,,https://youtu.be/-evM74-NzRc?t=287,
myortvye-dushi,0,Глава 1,yx-95Wr-P5U,0:05:42,0:00:15,-327,0.958,в ворота гостиницы губернского города nn въехала довольно,глава 1 ворота гостиницы губернского города n въехал,,,https://youtu.be/yx-95Wr-P5U?t=11,
myortvye-dushi,2,Глава 3,yx-95Wr-P5U,1:30:31,1:27:45,-166,0.944,а чичиков в довольном расположении духа сидел в,3 а чичек в довольным расположении духа сидел,,,https://youtu.be/yx-95Wr-P5U?t=5261,
myortvye-dushi,3,Глава 4,yx-95Wr-P5U,2:24:51,2:22:34,-137,0.93,подъехавши к трактиру чичиков велел остановиться по двум,4 подъехав же трактиру чичиков или восстановиться по,,,https://youtu.be/yx-95Wr-P5U?t=8551,
myortvye-dushi,4,Глава 5,yx-95Wr-P5U,3:37:12,3:35:39,-93,0.972,герой наш трухнул однако ж порядком хотя бричка,5 герой наш струхнул однако же порядком хотя,,,https://youtu.be/yx-95Wr-P5U?t=12936,
myortvye-dushi,6,Глава 7,yx-95Wr-P5U,5:43:17,5:42:27,-50,0.848,счастлив путник который после длинной скучной дороги с,путник которые после длинной скучной дороге с е,,,https://youtu.be/yx-95Wr-P5U?t=20544,
myortvye-dushi,9,Глава 10,yx-95Wr-P5U,8:58:57,8:52:38,-379,0.968,собравшись у полицеймейстера уже известного читателям отца и,собравшиеся у полицмейстера уже известно читателем отца и,,,https://youtu.be/yx-95Wr-P5U?t=31954,
olesya,3,Глава 4,gTDHD-Pib5Y,0:57:09,0:54:55,-134,0.911,весна наступила в этом году ранняя дружная и,пила в этом году раннее дружное и как,,,https://youtu.be/gTDHD-Pib5Y?t=3292,
olesya,8,Глава 9,gTDHD-Pib5Y,2:09:20,2:08:28,-52,0.855,евпсихий африканович сдержал свое обещание и оставил на,девятая ев психи африканович сдержал свое обещание и,,,https://youtu.be/gTDHD-Pib5Y?t=7704,
palata-6,3,Глава 4,ev7W9zrO-SI,0:24:19,0:23:51,-28,0.895,сосед с левой стороны у ивана дмитрича как,левой стороны у ивана дмитрича как я уже,,,https://youtu.be/ev7W9zrO-SI?t=1427,
palata-6,10,Глава 11,ev7W9zrO-SI,1:27:39,1:27:03,-36,0.914,этот разговор продолжался еще около часа и по,этот разговор продал с еще около часа и,,,https://youtu.be/ev7W9zrO-SI?t=5220,
palata-6,12,Глава 13,ev7W9zrO-SI,1:41:02,1:39:47,-75,0.962,через неделю андрею ефимычу предложили отдохнуть то есть,неделю андрей ефимыч у предложили отдохнуть то есть,,,https://youtu.be/ev7W9zrO-SI?t=5983,
palata-6,14,Глава 15,ev7W9zrO-SI,1:53:50,1:51:09,-161,0.942,андрей ефимыч жил в трехоконном домике мещанки беловой,андрей ефимыч жил в 3 оконным домики мещанки,,,https://youtu.be/ev7W9zrO-SI?t=6666,
poltava,3,Глава 4,kv3LI0lDFno,0:47:06,0:47:27,21,0.921,души глубокая печаль стремиться дерзновенно в даль вождю,3 души глубокая печаль стремится дерзновенно вдаль вождя,,,https://youtu.be/kv3LI0lDFno?t=2844,
smert-ivana-ilicha,11,Глава 12,fiBwPQ3v-Yw,2:34:47,2:34:17,-30,0.963,с этой минуты начался тот три дня не,с той минуты начался тот 3 дня не,,,https://youtu.be/fiBwPQ3v-Yw?t=9253,
