slug,chapter,verdict,new_start_sec
bratya-karamazovy,24,override,34496
dyadyushkin-son,13,accept,
geroy-nashego-vremeni,2,accept,
kazaki,0,accept,
kazaki,11,override,8176
kazaki,18,accept,
kazaki,23,override,15689
kazaki,34,override,21633
krasnyy-smekh,7,override,4410
otrochestvo,5,accept,
otrochestvo,10,accept,
otrochestvo,18,accept,
ottsy-i-deti,1,accept,
ottsy-i-deti,9,accept,
ottsy-i-deti,14,override,10365
ottsy-i-deti,15,override,11035
ottsy-i-deti,18,accept,
ottsy-i-deti,25,accept,
vechnyy-muzh,6,accept,
yunost,2,override,696
