slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
arap-petra-velikogo,7,Глава 8,Xu9k2h3pHCc,1:33:43,1:32:12,-91,0.966,в доме гаврилы афанасьевича из сеней направо находилась,в доме гаврила афанасьча из синей направо находилась,,https://youtu.be/Xu9k2h3pHCc?t=5528,
belyy-pudel,4,Глава 5,VLzzlhcj1e4,0:52:33,0:51:50,-43,0.955,у дедушки лодыжкина был давным давно примечен одни,дедушки ладышкина был давным давно примечен один уголок,,https://youtu.be/VLzzlhcj1e4?t=3106,
dyadyushkin-son,2,Глава 3,Q3SXgeVah0k,0:30:49,0:25:37,-312,0.952,десять часов утра мы в доме марьи александровны,третья 10сов утра мы в доме марии александровны,,https://youtu.be/Q3SXgeVah0k?t=1533,
dyadyushkin-son,10,Глава 11,Q3SXgeVah0k,4:10:07,4:03:25,-402,0.948,мозгляков вышел от марьи александровны по видимому вполне,мозгляков вышел от мари александровны по видимому вполне,,https://youtu.be/Q3SXgeVah0k?t=14602,
dyavol,2,Глава 3,zAqYP1qDPLA,0:09:10,0:08:06,-64,0.897,в середине этих забот случилось обстоятельство хотя и,в середине этих забот случилось обстоятельства хотя и,,https://youtu.be/zAqYP1qDPLA?t=483,
dyavol,10,Глава 11,zAqYP1qDPLA,1:01:48,1:01:27,-21,0.963,за кофеем как и часто случалось шел тот,за кофеем как и часто случалось шел тут,,https://youtu.be/zAqYP1qDPLA?t=3684,
dyavol,12,Глава 13,zAqYP1qDPLA,1:10:57,1:10:18,-39,0.972,нравственное усилие которое он сделал чтобы преодолев стыд,нравственные усилие которое он сделал чтобы преодолев стыд,,https://youtu.be/zAqYP1qDPLA?t=4214,
dyavol,13,Глава 14,zAqYP1qDPLA,1:16:10,1:15:43,-27,0.944,поговорив с самохиным евгений вернулся в дом убитый,13 поговорив самохиным евгении вернуться в дом убитые,,https://youtu.be/zAqYP1qDPLA?t=4539,
dyavol,17,Глава 18,zAqYP1qDPLA,1:44:06,1:43:00,-66,0.975,перед обедом лиза пришла к нему и все,17 перед обедом лиза пришла к нему и,,https://youtu.be/zAqYP1qDPLA?t=6177,
dyavol,18,Глава 19,zAqYP1qDPLA,1:50:36,1:50:05,-31,0.937,то что евгений доверил дядюшке свою тайну и,что их деньги доверил дядюшки свою тайну и,,https://youtu.be/zAqYP1qDPLA?t=6602,
