slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
yunost,0,Глава 1,BOIXjt-_2UI,0:00:07,0:00:13,6,0.982,я сказал что дружба моя с дмитрием открыла,я сказал что дружба моя с дмитрием открыла,,https://youtu.be/BOIXjt-_2UI?t=10,
yunost,1,Глава 2,BOIXjt-_2UI,0:03:34,0:03:34,0,1.0,в тот год как я вступил в университет,в тот год как я вступил в университет,,https://youtu.be/BOIXjt-_2UI?t=210,
yunost,2,Глава 3,BOIXjt-_2UI,0:11:32,0:11:37,5,0.981,нынче я исповедаюсь очищаюсь от всех грехов думал,нынче я исповедуюсь очищаю от всех грехов думал,,https://youtu.be/BOIXjt-_2UI?t=693,
yunost,3,Глава 4,BOIXjt-_2UI,0:21:08,0:21:07,-1,0.971,папа эту весну редко бывал дома но зато,папа эту весну редко бывал дома но зато,,https://youtu.be/BOIXjt-_2UI?t=1263,
yunost,4,Глава 5,BOIXjt-_2UI,0:32:03,0:32:07,4,0.992,я достал лист бумаги и прежде всего хотел,я достал лист бумаги и прежде всего хотел,,https://youtu.be/BOIXjt-_2UI?t=1924,
yunost,5,Глава 6,BOIXjt-_2UI,0:36:18,0:36:23,5,0.925,с этими и подобными рассеянными размышлениями я вернулся,с этими и подобными рассеянными я вернулся в,,https://youtu.be/BOIXjt-_2UI?t=2179,
yunost,6,Глава 7,BOIXjt-_2UI,0:40:37,0:40:41,4,0.943,я несколько раз просыпался ночью боясь проспать утро,я несколько раз просыпался ночью боясь проспать утро,,https://youtu.be/BOIXjt-_2UI?t=2438,
yunost,7,Глава 8,BOIXjt-_2UI,0:48:09,0:48:14,5,0.965,шаги духовника вывели меня из этой задумчивости здравствуйте,шаги духовника вывели меня из задумчивости здравствуйте сказал,,https://youtu.be/BOIXjt-_2UI?t=2891,
yunost,8,Глава 9,BOIXjt-_2UI,0:54:29,0:54:35,6,0.986,в четверг на святой папа сестра и мими,в четверг на святой папа сестра и мими,,https://youtu.be/BOIXjt-_2UI?t=3272,
yunost,9,Глава 10,BOIXjt-_2UI,1:00:44,1:00:46,2,0.73,шестнадцатого апреля я в первый раз под покровительством,десятая экзамен истории 16 апреля я в первый,,https://youtu.be/BOIXjt-_2UI?t=3642,
yunost,10,Глава 11,BOIXjt-_2UI,1:12:32,1:12:38,6,0.956,на следующих экзаменах кроме грапа которого я считал,следующих экзаменах кроме граппа которого я считал недостойным,,https://youtu.be/BOIXjt-_2UI?t=4354,
yunost,11,Глава 12,BOIXjt-_2UI,1:19:42,1:19:47,5,0.806,все шло отлично до латинского экзамена подвязанный гимназист,экзамен вс шло отлично до латинского экзамена повязан,,https://youtu.be/BOIXjt-_2UI?t=4784,
yunost,12,Глава 13,BOIXjt-_2UI,1:29:12,1:29:18,6,0.88,впрочем и эти мысли имели свою прелесть восьмого,большой впрочем и эти мысли имели свою 8,,https://youtu.be/BOIXjt-_2UI?t=5354,
yunost,13,Глава 14,BOIXjt-_2UI,1:42:15,1:42:13,-2,0.944,как только дмитрий вошел ко мне в комнату,дубком как только дмитрий вошел ко мне в,,https://youtu.be/BOIXjt-_2UI?t=6130,
yunost,14,Глава 15,BOIXjt-_2UI,1:51:49,1:51:55,6,1.0,дубков и володя знали у яра всех людей,дубков и володя знали у яра всех людей,,https://youtu.be/BOIXjt-_2UI?t=6711,
yunost,15,Глава 16,BOIXjt-_2UI,2:00:32,2:00:32,0,1.0,в большой комнате сидел за маленьким столом невысокий,в большой комнате сидел за маленьким столом невысокий,,https://youtu.be/BOIXjt-_2UI?t=7229,
yunost,16,Глава 17,BOIXjt-_2UI,2:11:41,2:11:41,0,0.959,проснувшись на другой день первою мыслию моею было,проснувшись на другой день первою мыслью моей было,,https://youtu.be/BOIXjt-_2UI?t=7898,
yunost,17,Глава 18,BOIXjt-_2UI,2:20:25,2:20:30,5,0.931,итак я отправился один первый визит был по,я отправился один первый визит был по местности,,https://youtu.be/BOIXjt-_2UI?t=8427,
yunost,18,Глава 19,BOIXjt-_2UI,2:32:26,2:32:32,6,0.975,второй визит по дороге был к корнаковым они,второй визит по дороге был к корнакова они,,https://youtu.be/BOIXjt-_2UI?t=9148,
