rank,author,title,year,kind,in_library,words,wikisource,epub,audio,audio_kind,audio_title,duration,audio_note,rights
1,Толстой Л.Н.,Война и мир,1869,novel,voyna-i-mir,443831,https://ru.wikisource.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%80_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%80_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/playlist?list=PLqw8TlHO2G0p78Hw3ik7Zdf53HMqvUoKf,playlist,Война и мир  Том 2  Часть 1   Л  Н  Толстой  Аудиокнига,11:54:49,no single full upload found — playlist covers the whole book,public domain in RU
2,Достоевский Ф.М.,Преступление и наказание,1866,novel,prestuplenie-i-nakazanie,169745,https://ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/playlist?list=PLqw8TlHO2G0oPVoftUsAfiX77-CvmDQG0,playlist,Аудиокнига - Преступление и наказание - Ф.М. Достоевский - часть 1,11:21:08,may be abridged — check against the playlist,public domain in RU
3,Булгаков М.А.,Мастер и Маргарита,1940,novel,master-i-margarita,112450,,,https://www.youtube.com/watch?v=VEm85UNTsZU,video,Михаил Булгаков. Мастер и Маргарита. Читает Олег Ефремов (1988-1989),9:55:20,,in copyright — no free text source
4,Пушкин А.С.,Евгений Онегин,1833,verse novel,evgeniy-onegin,22385,https://ru.wikisource.org/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=DGdPJPvHJA0,video,А.С.Пушкин «Евгений Онегин». Читает Иннокентий Смоктуновский,5:14:00,,public domain in RU
5,Толстой Л.Н.,Анна Каренина,1877,novel,anna-karenina,268593,https://ru.wikisource.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%90%D0%BD%D0%BD%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/playlist?list=PLqw8TlHO2G0pQADDboRbYqIC8hUoGrG7_,playlist,Лев Николаевич Толстой: Анна Каренина (аудиокнига) часть пятая и шестая,11:56:32,no single full upload found — playlist covers the whole book,public domain in RU
6,Гоголь Н.В.,Мёртвые души,1842,novel,myortvye-dushi,75243,https://ru.wikisource.org/wiki/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B5_%D0%B4%D1%83%D1%88%D0%B8_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B5_%D0%B4%D1%83%D1%88%D0%B8_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://www.youtube.com/watch?v=yWKTt5eFI14,video,Н.В.Гоголь — МЁРТВЫЕ ДУШИ. Аудиокнига. Читает Пётр Филин,11:59:28,,public domain in RU
7,Достоевский Ф.М.,Братья Карамазовы,1880,novel,bratya-karamazovy,292249,https://ru.wikisource.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/playlist?list=PLR5uhqVuRc85nGq9URftKiPhm1Cz8zdMC,playlist,«Братья Карамазовы». Фёдор Достоевский. Аудиокнига. 1 часть,11:31:11,no single full upload found — playlist covers the whole book,public domain in RU
8,Лермонтов М.Ю.,Герой нашего времени,1840,novel,geroy-nashego-vremeni,41376,https://ru.wikisource.org/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%B9_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%93%D0%B5%D1%80%D0%BE%D0%B9_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=OeX0iwJZ0Rg,video,М.Ю. Лермонтов — «Герой нашего времени» (Аудиокнига),7:27:18,,public domain in RU
9,Тургенев И.С.,Отцы и дети,1862,novel,ottsy-i-deti,54054,https://ru.wikisource.org/wiki/%D0%9E%D1%82%D1%86%D1%8B_%D0%B8_%D0%B4%D0%B5%D1%82%D0%B8_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9E%D1%82%D1%86%D1%8B_%D0%B8_%D0%B4%D0%B5%D1%82%D0%B8_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=Rrnah3RDZTc,video,Иван Сергеевич Тургенев. Отцы и дети. аудиокнига,8:00:42,,public domain in RU
10,Достоевский Ф.М.,Идиот,1869,novel,idiot,206190,https://ru.wikisource.org/wiki/%D0%98%D0%B4%D0%B8%D0%BE%D1%82_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%98%D0%B4%D0%B8%D0%BE%D1%82_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/playlist?list=PLg9uvA98eP6xYH9twkmn6pSxaHM_Lq6k8,playlist,"Фёдор Достоевский, Идиот, Русская классика, аудиокнига",9:33:53,no single full upload found — playlist covers the whole book,public domain in RU
